ID	Line	Day	Character	Character Art 1	Character Art 2	Character Art 3	Dialogue Type	Background	Next	Shortened Line 1	Next 2	Shortened Line 2	Music	Sound 1	Sound 2	Sound 3	Sound 4	Ambience	Notes
[D1SG-5]	Think of me as your distant auntie. It keeps a few centuries off of me, but call me your Spooky Grimmother. It’s all the same to me.	Day 1	Spooky_Grimmother	Omar_Confused		SG_Smirking	Dialogue	Outside_Apartment	[D1SG-5a]				Silly_Track					Nighttime_Ambience	
[D1SG-5a]		Day 1		Omar_Confused		SG_Smirking	Dialogue	Outside_Apartment	[D1C1-1]	SCREAM! 	[D1C1-2]	How’d you get here?	Silly_Track					Nighttime_Ambience	
[D1C1-1]	The woman’s expression contorts to one of annoyance. She takes a puff from her pipe and lets out a sigh filled with exhaustion.	Day 1		Omar_Shocked		SG_Annoyed	Physical	Outside_Apartment	[D1SG-6]				Silly_Track					Nighttime_Ambience	
[D1SG-6]	And they say the dead aren’t loud…	Day 1	Spooky_Grimmother	Omar_Shocked		SG_Annoyed	Dialogue	Outside_Apartment	[D1O-10]				Silly_Track					Nighttime_Ambience	
[D1O-10]	What? H-how’d you do that?	Day 1	Omar	Omar_Shocked		SG_Neutral	Dialogue	Outside_Apartment	[D1SG-11]				Silly_Track					Nighttime_Ambience	
[D1C1-2]	So, Spooky Grimmother, which side of the family are you from?	Day 1	Omar	Omar_Confused		SG_Neutral	Dialogue	Outside_Apartment	[D1SG-7]				Silly_Track					Nighttime_Ambience	
[D1SG-7]	She opens her mouth to answer but stops as if she’s in a freeze frame.	Day 1		Omar_Confused		SG_Confused	Physical	Outside_Apartment	[D1SG-8]				Silly_Track					Nighttime_Ambience	
[D1SG-8]	You know, I can’t even remember at this point. I’ve helped pass on so many of the family you’re all starting to blur together.	Day 1	Spooky_Grimmother	Omar_Confused		SG_Confused	Dialogue	Outside_Apartment	[D1SG-9]				Silly_Track					Nighttime_Ambience	
[D1SG-9]	She pinches my cheeks and something that looks like dust clings to her fingertips. She cringes at the sight and dusts her hand on her dress.	Day 1		Omar_Angry		SG_Smirking	Physical	Outside_Apartment	[D1SG-10]				Silly_Track					Nighttime_Ambience	
[D1SG-10]	Sorry, hun. I’ve spent too much time in the Underworld. I haven’t had a case like yours in ages.	Day 1	Spooky_Grimmother	Omar_Confused		SG_Smirking	Dialogue	Outside_Apartment	[D1O-11]				Silly_Track					Nighttime_Ambience	
[D1O-11]	The Underworld is real?!	Day 1	Omar	Omar_Shocked		SG_Neutral	Dialogue	Outside_Apartment	[D1SG-11]				Silly_Track					Nighttime_Ambience	
[D1SG-11]	Wrong question, hun. Have you seen your reflection yet?	Day 1	Spooky_Grimmother	Omar_Shocked		SG_Stern	Dialogue	Outside_Apartment	[D1O-12]				Default_Track					Nighttime_Ambience	
[D1O-12]	No. Should I? Is something wrong?!	Day 1	Omar	Omar_Confused		SG_Stern	Dialogue	Outside_Apartment	[D1SG-12]				Default_Track					Nighttime_Ambience	
[D1SG-12]	I’m guessing you don’t recognize the smell of decay on yourself either, huh?	Day 1	Spooky_Grimmother	Omar_Confused		SG_Smirking	Dialogue	Outside_Apartment	[D1SG-13]				Default_Track					Nighttime_Ambience	
[D1SG-13]	She wiggles her finger and a hand mirror pops into her palm.	Day 1			Mirror_Item		Physical	Outside_Apartment	[D1SG-14]				Default_Track	Sparkle				Nighttime_Ambience	
[D1SG-14]	She holds it up to where I can see it. Something that could’ve been me stares back from the mirror, startling me, and makes me trip over my own feet to get away from it.	Day 1			OmarMirror_Item		Physical	Outside_Apartment	[D1O-13]				Default_Track					Nighttime_Ambience	
[D1O-13]	I put my hand over my heart to catch my breath but all I feel is a cold. No pulse. I couldn’t even feel my lungs expand. I wasn’t breathing.	Day 1			OmarMirror_Item		Physical	Outside_Apartment	[D1SG-15]				Default_Track					Nighttime_Ambience	
[D1SG-15]	Honey, you’re a <b>zombie.</b>	Day 1	Spooky_Grimmother	Omar_Confused		SG_Neutral	Dialogue	Outside_Apartment	[D1O-14]				Default_Track					Nighttime_Ambience	
[D1O-14]	This time I didn't scream. I stare into the mirror and trace the shape of my cheeks. With one of my nails, I scratch at my face to see if I could feel anything. There wasn’t even an ache.	Day 1			OmarMirror_Item		Physical	Outside_Apartment	[D1O-15]				Default_Track					Nighttime_Ambience	
[D1O-15]	My jaw fell to the floor. Literally.	Day 1		Omar_Shocked		SG_Neutral	Physical	Outside_Apartment	[D1O-16]				Default_Track					Nighttime_Ambience	
[D1O-16]	What the hell is going on?	Day 1	Omar	Omar_Shocked		SG_Neutral	Dialogue	Outside_Apartment	[D1SG-16]				Default_Track					Nighttime_Ambience	
[D1SG-16]	A chance to get closure.	Day 1	Spooky_Grimmother	Omar_Confused		SG_Neutral	Dialogue	Outside_Apartment	[D1SG-17]				Default_Track					Nighttime_Ambience	
[D1SG-17]	She snaps her finger and my jaw floats up before reattaching to my head.	Day 1		Omar_Confused		SG_Neutral	Physical	Outside_Apartment	[D1SG-18]				Default_Track					Nighttime_Ambience	
[D1SG-18]	If you haven’t connected the dots yet, you very much did not die from natural causes.	Day 1	Spooky_Grimmother	Omar_Shocked		SG_Neutral	Dialogue	Outside_Apartment	[D1SG-19]				Default_Track					Nighttime_Ambience	
[D1SG-19]	You were killed.	Day 1	Spooky_Grimmother	Omar_Sad		SG_Stern	Dialogue	Outside_Apartment	[D1SG-20]				Default_Track					Nighttime_Ambience	
[D1SG-20]	So, I did what any good Grimmother would do and brought you back.	Day 1	Spooky_Grimmother	Omar_Confused		SG_Stern	Dialogue	Outside_Apartment	[D1SG-21]				Default_Track					Nighttime_Ambience	
[D1SG-21]	The rotting teeth and bones peeking out from your skin are just a minor side effect. 	Day 1	Spooky_Grimmother	Omar_Confused		SG_Smirking	Dialogue	Outside_Apartment	[D1SG-21a]				Default_Track					Nighttime_Ambience	
[D1SG-21a]		Day 1	Spooky_Grimmother	Omar_Confused		SG_Smirking	Dialogue	Outside_Apartment	[D1C2-1]	I'm stuck like this?	[D1C2-2]	Bring me back to life all the way!	Default_Track						
[D1C2-1]	So...	Day 1	Omar	Omar_Sad		SG_Neutral	Dialogue	Outside_Apartment	[D1O-17]				Default_Track					Nighttime_Ambience	
[D1O-17]	This is it for me? I’m just stuck as a zombie forever?	Day 1	Omar	Omar_Sad		SG_Neutral	Dialogue	Outside_Apartment	[D1O-18]				Default_Track					Nighttime_Ambience	
[D1O-18]	My chin follows my eyes as I stare down at my hands. The skin around my skull droops and weighs down my skull. Spooky Grimmother cups my face with her hands before my head could fall onto the ground and looks me dead in the eyes.	Day 1		Omar_Sad		SG_Shocked	Physical	Outside_Apartment	[D1SG-22]				Default_Track					Nighttime_Ambience	
[D1SG-22]	H-Hey! Don’t act like that. Zombification isn’t all bad. Most people don’t get the chance to find out who whacked them, but you do!	Day 1	Spooky_Grimmother	Omar_Sad		SG_Shocked	Dialogue	Outside_Apartment	[D1SG-23]				Default_Track					Nighttime_Ambience	
[D1SG-23]	No godchild of mine is going to waste an opportunity like this by acting like a bag of bones.	Day 1	Spooky_Grimmother	Omar_Sad		SG_Smirking	Dialogue	Outside_Apartment	[D1O-23]				Default_Track					Nighttime_Ambience	
[D1C2-2]	Why would you bring me back as a zombie? I want to be normal!	Day 1	Omar	Omar_Angry		SG_Smirking	Dialogue	Outside_Apartment	[D1SG-24]				Default_Track					Nighttime_Ambience	
[D1SG-24]	That’s out of my jurisdiction sweetheart. I’m your Spooky Grimmother. Not your defy-life-and-death mother.	Day 1	Spooky_Grimmother	Omar_Angry		SG_Smirking	Dialogue	Outside_Apartment	[D1SG-25]				Default_Track					Nighttime_Ambience	
[D1SG-25]	An incomplete revival is the best I can do.	Day 1	Spooky_Grimmother	Omar_Angry		SG_Neutral	Dialogue	Outside_Apartment	[D1O-19]				Default_Track					Nighttime_Ambience	
[D1O-19]	Can’t you do it again? Like reheating pizza pockets?	Day 1	Omar	Omar_Neutral		SG_Neutral	Dialogue	Outside_Apartment	[D1SG-26]				Default_Track					Nighttime_Ambience	
[D1SG-26]	No I-- how is the reintroduction of your soul back into your body anything like reheating pizza pockets?	Day 1	Spooky_Grimmother	Omar_Neutral		SG_Annoyed	Dialogue	Outside_Apartment	[D1O-20]				Default_Track					Nighttime_Ambience	
[D1O-20]	It’s like when you bite into one right after taking it out the microwave, but then you taste how cold it is in the middle.	Day 1	Omar	Omar_Neutral		SG_Annoyed	Dialogue	Outside_Apartment	[D1O-21]				Default_Track					Nighttime_Ambience	
[D1O-21]	Obviously you can’t just keep eating it if it’s still a little frozen, so you just throw them back into the--	Day 1	Omar	Omar_Neutral		SG_Annoyed	Dialogue	Outside_Apartment	[D1SG-27]				Default_Track					Nighttime_Ambience	
[D1SG-27]	Alright, alright, we’re getting off track.	Day 1	Spooky_Grimmother	Omar_Neutral		SG_Annoyed	Dialogue	Outside_Apartment	[D1SG-28]				Default_Track					Nighttime_Ambience	
[D1SG-28]	I’m putting my foot down, hun. I can’t do it again. Your soul wouldn’t survive the process and your body would look more like worm food than it already does.	Day 1	Spooky_Grimmother	Omar_Neutral		SG_Annoyed	Dialogue	Outside_Apartment	[D1O-22]				Default_Track					Nighttime_Ambience	
[D1O-22]	I groan.	Day 1		Omar_Neutral		SG_Annoyed	Physical	Outside_Apartment	[D1SG-29]				Default_Track					Nighttime_Ambience	
[D1SG-29]	Anyway, you’re only a zombie and, if you want to find out who killed you, you’re going to stay as a zombie.	Day 1	Spooky_Grimmother	Omar_Neutral		SG_Neutral	Dialogue	Outside_Apartment	[D1O-23]				Default_Track					Nighttime_Ambience	
[D1O-23]	Well, how much time do I have to find my killer?	Day 1	Omar	Omar_Neutral		SG_Neutral	Dialogue	Outside_Apartment	[D1SG-30]				Default_Track					Nighttime_Ambience	
[D1SG-30]	Just until Halloween ends. Sooo… we’re looking at around three days. Starting now.	Day 1	Spooky_Grimmother	Omar_Shocked		SG_Neutral	Dialogue	Outside_Apartment	[D1O-24]				Default_Track					Nighttime_Ambience	
[D1O-24]	 I’m supposed to find a killer in THREE days? I don’t even remember what happened before I died!	Day 1	Omar	Omar_Shocked		SG_Annoyed	Dialogue	Outside_Apartment	[D1SG-31]				Default_Track					Nighttime_Ambience	
[D1SG-31]	Well, I wouldn’t have brought you back if it was impossible. 	Day 1	Spooky_Grimmother	SG_Annoyed		SG_Annoyed	Dialogue	Outside_Apartment	[D1O-24]				Default_Track					Nighttime_Ambience	
[D1O-24]	Where do I even start?	Day 1	Omar	Omar_Shocked		SG_Annoyed	Dialogue	Outside_Apartment	[D1O-25]				Default_Track					Nighttime_Ambience	
[D1O-25]	Bubbles of anxiety surge up from my stomach and into my shaky hands. Even though my body didn’t need it, I took in a deep breath to steady my hands and my nerves.	Day 1		Omar_Shocked		SG_Neutral	Physical	Outside_Apartment	[D1SG-32]				Default_Track					Nighttime_Ambience	
[D1SG-32]	Well, you could start by looking down.	Day 1	Spooky_Grimmother	Omar_Confused		SG_Neutral	Dialogue	Outside_Apartment	[D1O-26]				Default_Track					Nighttime_Ambience	
[D1O-26]	Down? What?	Day 1	Omar	Omar_Confused		SG_Smirking	Dialogue	Outside_Apartment	[D1O-27]				Default_Track					Nighttime_Ambience	
[D1O-27]	A 13th Pizza box lies turned over next to my feet. Whoever had ordered it must have wanted a slasher special because of all the pepperonis. The dent on it looks suspiciously like the back of my head. 	Day 1			ClosedPizza_Item		Physical	Outside_Apartment	[D1O-28]				Default_Track					Nighttime_Ambience	
[D1O-28]	A blanket lies on the ground next to my car. I must’ve thrown it off after I got up. Holding it in my hands, it’s really comfortable. Like, really comfy. On top of the handmade vibe it has going on, it’s honestly super charming.	Day 1			FoldedBlanket_Item		Physical	Outside_Apartment	[D1O-29]				Default_Track					Nighttime_Ambience	
[D1O-29]	Towards the bottom of the blanket, I run my fingers over an embroidered “L.C”.	Day 1			UnfoldedBlanket_Item		Physical	Outside_Apartment	[D1O-30]				Default_Track					Nighttime_Ambience	
[D1O-30]	L.C, huh? These must be the initials of whoever sewed the blanket.	Day 1	Omar	Omar_Neutral		SG_Smirking	Dialogue	Outside_Apartment	[D1SG-33]				Default_Track					Nighttime_Ambience	
[D1SG-33]	Ooh! See! It hasn’t even been a full day and you already got your first clue! Good job, hun!	Day 1	Spooky_Grimmother	Omar_Happy		SG_Smirking	Dialogue	Outside_Apartment	[D1O-31]				Default_Track					Nighttime_Ambience	
[D1O-31]	Thanks Spooky G, but one clue doesn’t feel like enough for me to go on at the moment though.	Day 1	Omar	Omar_Happy		SG_Smirking	Dialogue	Outside_Apartment	[D1O-32]				Default_Track					Nighttime_Ambience	
[D1O-32]	Tucking the blanket into my arms, I open the driver’s side door to my car. It’s a good thing I never lock the doors when I’m doing deliveries.	Day 1		Omar_Neutral		SG_Smirking	Physical	Outside_Apartment	[D1O-33]				Default_Track					Nighttime_Ambience	
[D1O-33]	A smile bursts onto my face when I see the keys are still in the ignition. Resting the blanket on the passenger seat, I turn the keys until the engine roars to life and then settles into it’s usual sputtering while it's parked.	Day 1		Omar_Neutral		SG_Neutral	Physical	Outside_Apartment	[D1O-34]				Default_Track					Nighttime_Ambience	
[D1O-34]	The best move for me right now would probably be to go back to work.	Day 1	Omar	Omar_Neutral		SG_Annoyed	Dialogue	Outside_Apartment	[D1SG-34]				Default_Track					Nighttime_Ambience	
[D1SG-34]	Oh sure, waste your second chance at life throwing dough in the air. Every young man’s death wish come true.	Day 1	Spooky_Grimmother	Omar_Neutral		SG_Annoyed	Dialogue	Outside_Apartment	[D1O-35]				Default_Track					Nighttime_Ambience	
[D1O-35]	Have a little more faith, Spooky G. It wouldn’t make sense for me to spend all day knocking on apartment doors and asking people if they killed me. I gotta work smarter, not harder.	Day 1	Omar	Omar_Neutral		SG_Neutral	Dialogue	Outside_Apartment	[D1O-36]				Default_Track					Nighttime_Ambience	
[D1O-36]	I figure my manager must keep receipts of any orders made online just in case we get complaints or mess up the pizzas. If I can compare the day I was killed with the last order I delivered then I’ll also have the address of the person who killed me.	Day 1	Omar	Omar_Neutral		SG_Smirking	Dialogue	Outside_Apartment	[D1SG-35]				Default_Track					Nighttime_Ambience	
[D1SG-35]	Well look at you go, Sherlock.	Day 1	Spooky_Grimmother	Omar_Happy		SG_Smirking	Dialogue	Outside_Apartment	[D1O-37]				Default_Track					Nighttime_Ambience	
[D1O-37]	I shrug but I can’t hide the pride in my smile. This is gonna be easy!	Day 1		Omar_Happy		SG_Smirking	Physical	Outside_Apartment	[D1SG-36]				Default_Track					Nighttime_Ambience	
[D1SG-36]	Or at least it would be if Spooky Grimmother wasn’t stopping me from closing the driver’s door.	Day 1		Omar_Confused		SG_Stern	Physical	Outside_Apartment	[D1SG-37]				Default_Track					Nighttime_Ambience	
[D1SG-37]	Ah, ah, ah! Hold on. I don’t want you going off on your little adventure without me telling you about Rigor Mortis.	Day 1	Spooky_Grimmother	Omar_Neutral		SG_Stern	Dialogue	Outside_Apartment	[D1O-38]				Default_Track					Nighttime_Ambience	
[D1O-38]	Rigor Mortis? Didn’t that already happen?	Day 1	Omar	Omar_Neutral		SG_Stern	Dialogue	Outside_Apartment	[D1SG-38]				Default_Track					Nighttime_Ambience	
[D1SG-38]	Not exactly, my little numbskull.	Day 1	Spooky_Grimmother	Omar_Neutral		SG_Stern	Dialogue	Outside_Apartment	[D1SG-39]				Default_Track					Nighttime_Ambience	
[D1SG-39]	You’re about halfway between a regular human and a brain-crazed cannibalistic corpse, and the only thing keeping you from going full zombie is your body.	Day 1	Spooky_Grimmother	Omar_Neutral		SG_Neutral	Dialogue	Outside_Apartment	[D1SG-40]				Default_Track					Nighttime_Ambience	
[D1SG-40]	In other words, hun, your body has a mind of its own now. If you over-exert it by running a marathon, trying to lift up a car, or anything else along those lines then your body is going to call it quits and kick out your soul.	Day 1	Spooky_Grimmother	Omar_Shocked		SG_Neutral	Dialogue	Outside_Apartment	[D1SG-41]				Default_Track					Nighttime_Ambience	
[D1SG-41]	So be careful these next three days. If you push your body too hard then you won’t even make it to Halloween. Without your soul, your body is going to start hunting for brains and the zombie apocalypse isn’t scheduled for another century.	Day 1	Spooky_Grimmother	Omar_Shocked		SG_Neutral	Dialogue	Outside_Apartment	[D1O-39]				Default_Track					Nighttime_Ambience	
[D1O-39]	I act like I’m taking a deep breath and then sigh before resting my head against the steering wheel.	Day 1		Omar_Neutral		SG_Neutral	Physical	Outside_Apartment	[D1O-40]				Default_Track					Nighttime_Ambience	
[D1O-40]	W-well what about my soul? If my body goes through rigor mortis 2.0 then my soul just gets kicked out and I’ll pass on like you said, right?	Day 1	Omar	Omar_Neutral		SG_Neutral	Dialogue	Outside_Apartment	[D1SG-42]				Default_Track					Nighttime_Ambience	
[D1SG-42]	She takes a long drag from her pipe before shaking her head.	Day 1		Omar_Neutral		SG_Stern	Physical	Outside_Apartment	[D1SG-43]				Default_Track					Nighttime_Ambience	
[D1SG-43]	Let’s just say… you’re not passing on anywhere without finishing your business.	Day 1	Spooky_Grimmother	Omar_Neutral		SG_Stern	Dialogue	Outside_Apartment	[D1SG-44]				Default_Track					Nighttime_Ambience	
[D1SG-44]	You can tell how far along you are by how hard it’ll be for you to move. It’s your body’s way of telling you to ease up.	Day 1	Spooky_Grimmother	Omar_Neutral		SG_Neutral	Dialogue	Outside_Apartment	[D1O-41]				Default_Track					Nighttime_Ambience	Rigor Mortis Meter  bar appears
[D1O-41]	I nod at her and then towards the driver’s door.	Day 1	Omar	Omar_Neutral		SG_Neutral	Physical	Outside_Apartment	[D1O-42]				Default_Track					Nighttime_Ambience	
[D1O-42]	You gonna let me go now, or is there more to tell about this seemingly shit second chance at life you’ve given me?	Day 1	Omar	Omar_Neutral		SG_Smirking	Dialogue	Outside_Apartment	[D1SG-45]				Default_Track					Nighttime_Ambience	
[D1SG-45]	Don’t get smart with me, boy. Now go on and find the unlucky punk who gets to have a zombie chasing them down.	Day 1	Spooky_Grimmother	Omar_Neutral		SG_Smirking	Dialogue	Outside_Apartment	[D1O-43]				Default_Track					Nighttime_Ambience	
[D1O-43]	She moves out of the way so I can close the driver’s door. As I check the rearview mirror, I catch a glimpse of my new zombified appearance again. I smiled when I realized I hadn’t gasped and pulled off from the parking lot towards my job: The 13th Pizza	Day 1		Omar_Neutral			Physical	Outside_Apartment	[D1O-44]				Default_Track					Nighttime_Ambience	
[D1O-44]		Day 1						Black_screen	[D1O-45]				Default_Track					Nighttime_Ambience	
[D1O-45]		Day 1						The_13th_Pizza	[D1O-46]				Default_Track	Door_Entry_Chime				Electrical_Light_Ambience	
[D1O-46]	As soon as I step through the double doors, a groan slips through my cracked lips and my shoulders slump as if my life had been snatched a second time. Ah, The 13th Pizza never makes me regret staying away.	Day 1					Physical	The_13th_Pizza	[D1O-47]				Default_Track					Electrical_Light_Ambience	
[D1O-47]	This grease trap is the infamous 13th attempt at a pizzeria by the owner, Charles Ray Lee. The guy had bad luck with running food establishments, but he wouldn’t let his pie-filled dream die. A real shame for everyone he hired.	Day 1					Physical	The_13th_Pizza	[D1I-1]				Default_Track					Electrical_Light_Ambience	
[D1I-1]	A high-pitched voice tinged with voice cracks breaks the humming of the A/C Charles didn’t fix.	Day 1					Physical	The_13th_Pizza	[D1I-2]				Default_Track					Electrical_Light_Ambience	
[D1I-2]	Oh my God! Omar!?	Day 1	???				Dialogue	The_13th_Pizza	[D1O-48]				Default_Track					Electrical_Light_Ambience	
[D1O-48]	Before I can whip my head towards the counter, a pair of arms wrap tightly around my shoulders and pull me into a bear hug. My arms nearly pop out of their sockets along with my eyes before Iggy, my shift partner, lets me go and punches my chest.	Day 1					Physical	The_13th_Pizza	[D1I-3]				Default_Track					Electrical_Light_Ambience	
[D1I-3]	Where have you been?! You don’t call in sick to the boss, you don’t even send a text to me, and then you make me look like an asshole for calling your phone five times everyday when even your parents didn’t know where you are!	Day 1	Iggy_Bumdeez	Omar_Sad		Iggy_Fuming	Dialogue	The_13th_Pizza	[D1I-4]				Default_Track					Electrical_Light_Ambience	
[D1I-4]	How’re you just going to ghost everyone for three weeks?!	Day 1	Iggy_Bumdeez	Omar_Sad		Iggy_Fuming	Dialogue	The_13th_Pizza	[D1O-49]				Default_Track					Electrical_Light_Ambience	
[D1O-49]	Three weeks?! I’ve been gone for three weeks?!	Day 1	Omar	Omar_Shocked		Iggy_Fuming	Dialogue	The_13th_Pizza	[D1I-5]				Default_Track					Electrical_Light_Ambience	
[D1I-5]	Duh! Did you lose track of time while you were on your ghost vacation?! You owe me big time! And then you have the audacity to walk in here like a…	Day 1	Iggy_Bumdeez	Omar_Sad		Iggy_Fuming	Dialogue	The_13th_Pizza	[D1I-6]				Default_Track					Electrical_Light_Ambience	
[D1I-6]	He sniffs the air and twitches his nose to hold back his disgust. 	Day 1		Omar_Sad		Iggy_Neutral	Physical	The_13th_Pizza	[D1I-7]				Default_Track					Electrical_Light_Ambience	
[D1I-7]	 Dude, you’re smelling a little ripe. I can give you some of the deodorant in my bag, but I want an answer first. What happened?	Day 1	Iggy_Bumdeez	Omar_Neutral		Iggy_Neutral	Dialogue	The_13th_Pizza	[D1I-7a]				Default_Track					Electrical_Light_Ambience	
[D1I-7a]		Day 1	Iggy_Bumdeez	Omar_Neutral		Iggy_Neutral	Dialogue	The_13th_Pizza	[D1C3-1]	Avoid the Question	[D1C3-2]	Tell the Truth	Default_Track					Electrical_Light_Ambience	
[D1C3-1]	I wrap my arms around his neck and shove his nose closer to my armpits so he can get a good whiff of me. We both laugh it off as he shoves me away and stare at each other as we wear the same smile.	Day 1		Omar_Happy		Iggy_Excited	Physical	The_13th_Pizza	[D1O-50]				Default_Track					Electrical_Light_Ambience	
[D1O-50]	I missed you too, Ig. Really appreciate the warm welcome.	Day 1	Omar	Omar_Happy		Iggy_Excited	Dialogue	The_13th_Pizza	[D1I-8]				Default_Track					Electrical_Light_Ambience	
[D1I-8]	Yeah, yeah, yeah. Stop dodging the question though, man.	Day 1	Iggy_Bumdeez	Omar_Happy		Iggy_Excited	Dialogue	The_13th_Pizza	[D1O-51]				Default_Track					Electrical_Light_Ambience	
[D1O-51]	I’m not dodging, I’m not dodging. I’m still trying to figure out what happened to me. The last few weeks are kind of a blur, and definitely not in a fun way.	Day 1	Omar	Omar_Happy		Iggy_Neutral	Dialogue	The_13th_Pizza	[D1I-9]				Default_Track					Electrical_Light_Ambience	
[D1I-9]	That’s some hangover, man. If you drank as much as I thought, I’m surprised you’re still standing. Did something happen with your parents? You need to crash with me again?	Day 1	Iggy_Bumdeez	Omar_Neutral		Iggy_Neutral	Dialogue	The_13th_Pizza	[D1O-52]				Default_Track					Electrical_Light_Ambience	
[D1O-52]	Oh no, I’m good. I’m just trying to piece some things together.	Day 1	Omar	Omar_Neutral		Iggy_Neutral	Dialogue	The_13th_Pizza	[D1O-53]				Default_Track					Electrical_Light_Ambience	
[D1O-53]	I really appreciate you covering for me, man. I don’t know how you did it, but I-	Day 1	Omar	Omar_Neutral		Iggy_Neutral	Dialogue	The_13th_Pizza	[D1I-10]				Default_Track					Electrical_Light_Ambience	
[D1I-10]	Iggy shakes his head to cut me off and raises his hand. Like we’d done probably a million times before, I give him a high five and finish our signature handshake with a fist bump.	Day 1		Omar_Neutral		Iggy_Neutral	Physical	The_13th_Pizza	[D1I-11]				Default_Track					Electrical_Light_Ambience	
[D1I-11]	Don’t even worry about it. When you didn’t show up for your shift, I volunteered to cover for you until you came back before Charles could even write up the new schedule.	Day 1	Iggy_Bumdeez	Omar_Happy		Iggy_Neutral	Dialogue	The_13th_Pizza	[D1I-12]				Default_Track					Electrical_Light_Ambience	
[D1I-12]	You still owe me, though.	Day 1	Iggy_Bumdeez	Omar_Happy		Iggy_Excited	Dialogue	The_13th_Pizza	[D1O-54]				Default_Track					Electrical_Light_Ambience	
[D1O-54]	Let me know soon so I won’t forget. I don’t need you holding this over my head.	Day 1	Omar	Omar_Happy		Iggy_Excited	Dialogue	The_13th_Pizza	[D1O-55]				Default_Track					Electrical_Light_Ambience	
[D1O-55]	Our laughs fill the restaurant as we make our way behind the register.	Day 1		Omar_Happy		Iggy_Excited	Physical	The_13th_Pizza	[D1O-56]				Default_Track					Electrical_Light_Ambience	
[D1O-56]	It was like I’d never left.	Day 1		Omar_Happy		Iggy_Excited	Physical	The_13th_Pizza	[D1O-68]				Default_Track					Electrical_Light_Ambience	
[D1C3-2]	Well…	Day 1	Omar	Omar_Confused		Iggy_Fuming	Dialogue	The_13th_Pizza	[D1O-57]				Default_Track					Electrical_Light_Ambience	
[D1O-57]	Basically, I died and got brought back to life by a spooky, grim godmother I never knew I had. I’m guessing that I died three weeks ago while I was on my shift, but I don’t remember who did it.	Day 1	Omar	Omar_Bashful		Iggy_Neutral	Dialogue	The_13th_Pizza	[D1O-58]				Default_Track					Electrical_Light_Ambience	
[D1O-58]	My Spooky Grimmother says that I only have until Halloween night to figure out who killed me or else I’m gonna be stuck as a ghost and my body will start the zombie apocalypse that’s due sometime in the 23rd century.	Day 1	Omar	Omar_Bashful		Iggy_Neutral	Dialogue	The_13th_Pizza	[D1I-13]				Default_Track					Electrical_Light_Ambience	
[D1I-13]	He stares at me with his hands holding onto something in his pockets. I scratch my hair to distract myself from the silence and his eyes.	Day 1		Omar_Bashful		Iggy_Neutral	Physical	The_13th_Pizza	[D1O-59]				Default_Track					Electrical_Light_Ambience	
